Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 1000 Growth RGS Financial Services Index Total Return,USD,Total,End of day,R1GRGSFST,,.R1GRGSFST
Russell 1000 Growth RGS Health Care Index Price Return,USD,Price,End of day,R1GRGSHC,,.R1GRGSHC
Russell 1000 Growth RGS Health Care Index Total Return,USD,Total,End of day,R1GRGSHCT,,.R1GRGSHCT
Russell 1000 Growth RGS Materials & Processing Index Price Return,USD,Price,End of day,R1GRGSMP,,.R1GRGSMP
Russell 1000 Growth RGS Materials & Processing Index Total Return,USD,Total,End of day,R1GRGSMPT,,.R1GRGSMPT
Russell 1000 Growth RGS Producer Durables Index Price Return,USD,Price,End of day,R1GRGSPD,,.R1GRGSPD
Russell 1000 Growth RGS Producer Durables Index Total Return,USD,Total,End of day,R1GRGSPDT,,.R1GRGSPDT
Russell 1000 Growth RGS Technology Index Price Return,USD,Price,End of day,R1GRGSTEC,,.R1GRGSTEC
Russell 1000 Growth RGS Technology Index Total Return,USD,Total,End of day,R1GRGSTECT,,.R1GRGSTECT
Russell 1000 Growth RGS Utilities Index Price Return,USD,Price,End of day,R1GRGSUT,,.R1GRGSUT
Russell 1000 Growth RGS Utilities Index Total Return,USD,Total,End of day,R1GRGSUTT,,.R1GRGSUTT
Russell 1000 Growth Total Return,USD,Total,Real Time,RLGTR,RU10GRTR,.RLGTRI
Russell 1000 Growth-Defensive TR,USD,Total,End of day,R1GDFTR,,.R1GDFTR
Russell 1000 Growth-Dynamic TR,USD,Total,End of day,R1GDYTR,,.R1GDYTR
Russell 1000 High Beta,USD,Price,End of day,R1HBTA,RU1HBTA ,. R1HBTA
Russell 1000 High Beta Total Return,USD,Total,End of day,R1HBTATR,RU1HBTAT,. R1HBTATR
Russell 1000 High Eff Def - Low,USD,Price,End of day,RURDRL3,RURDRL3,.RURDRL3
Russell 1000 High Eff Def - Low NR,USD,Net,End of day,RURDRL3N,RURDRL3N,.RURDRL3N
Russell 1000 High Eff Def - Low TR,USD,Total,End of day,RURDRL3T,RURDRL3T,.RURDRL3T
Russell 1000 High Eff Def - Mod,USD,Price,End of day,RURDRL6,RURDRL6,.RURDRL6
Russell 1000 High Eff Def - Mod NR,USD,Net,End of day,RURDRL6N,RURDRL6N,.RURDRL6N
Russell 1000 High Eff Def - Mod TR,USD,Total,End of day,RURDRL6T,RURDRL6T,.RURDRL6T
Russell 1000 High Eff Low Volatility Index,USD,Price,End of day,RURHXLL,,.RURHXLL
Russell 1000 High Eff Low Volatility Index Total Return,USD,Total,Real Time,RURHXLLT,RURHXLLT,.RURHXLLT
Russell 1000 High Eff Momentum Index,USD,Price,End of day,RURHXLM,,.RURHXLM
Russell 1000 High Eff Momentum Index Total Return,USD,Total,Real Time,RURHXLMT,RURHXLMT,.RURHXLMT
Russell 1000 High Eff Quality Index,USD,Price,End of day,RURHXLQ,,.RURHXLQ
Russell 1000 High Eff Quality Index Total Return,USD,Total,Real Time,RURHXLQT,RURHXLQT,.RURHXLQT
Russell 1000 High Eff Value Index,USD,Price,End of day,RURHXLV,,.RURHXLV
Russell 1000 High Eff Value Index Total Return,USD,Total,Real Time,RURHXLVT,RURHXLVT,.RURHXLVT
Russell 1000 High Momentum,USD,Price,End of day,R1HMTM,RU1HMTM ,. R1HMTM
Russell 1000 High Momentum Total Return,USD,Total,End of day,R1HMTMTR,RU1HMTMT,. R1HMTMTR
Russell 1000 High Volatility,USD,Price,End of day,R1HVOL,RU1HVOL ,.R1HVOL
Russell 1000 High Volatility Total Return,USD,Total,End of day,R1HVOLTR,RU1HVOLT,.R1HVOLTR
Russell 1000 Index EUR,EUR,Price,End of day,,RU10EUPI,
Russell 1000 Index EUR,EUR,Total,End of day,,RU10EUTV,
Russell 1000 Index GBP,GBP,Price,End of day,,RU10GBHI,
Russell 1000 Index JPY,JPY,Total,End of day,,RU10JPTI,
Russell 1000 Low Beta,USD,Price,End of day,R1LBTA,RU1LBTA ,. R1LBTA
Russell 1000 Low Beta Total Return,USD,Total,End of day,R1LBTATR,RU1LBTAT,. R1LBTATR
Russell 1000 Low Volatility,USD,Price,Real Time,R1LVOL,RU1LVOL ,.R1LVOL
Russell 1000 Low Volatility Total Return,USD,Total,End of day,R1LVOLTR,RU1LVOLT,.R1LVOLTR
Russell 1000 Net Return,USD,Net,End of day,RUINR,RU10N30U,.RUINU
Russell 1000 Net Return EURO,EUR,Net,End of day,RUINRE,,.RUINRE
Russell 1000 Net Return GBP,GBP,Net,End of day,RUINRP,,.RUINRP
Russell 1000 Price - EOD,USD,Price,End of day,R1PREOD,,.R1PREOD
Russell 1000 RGS Consumer Discreationary,USD,Price,Real Time,R1RGSCD,RGUSDL,.R1RGSCD
Russell 1000 RGS Consumer Discretionary Total Return,USD,Total,End of day,R1RGSCDTR,,.R1RGSCDTR
Russell 1000 RGS Consumer Staples,USD,Price,Real Time,R1RGSCS,RGUSSL,.R1RGSCS
Russell 1000 RGS Consumer Staples Total Return,USD,Total,End of day,R1RGSCSTR,,.R1RGSCSTR
Russell 1000 RGS Energy,USD,Price,Real Time,R1RGSENG,RGUSEL,.R1RGSENG
Russell 1000 RGS Energy Total Return,USD,Total,End of day,R1RGSENGTR,,.R1RGSENGTR
Russell 1000 RGS Financial Services,USD,Price,Real Time,R1RGSFS,RGUSFL,.R1RGSFS
Russell 1000 RGS Financial Services Total Return,USD,Total,End of day,R1RGSFSTR,,.R1RGSFSTR
Russell 1000 RGS Health Care,USD,Price,Real Time,R1RGSHC,RGUSHL,.R1RGSHC
Russell 1000 RGS Health Care Total Return,USD,Total,End of day,R1RGSHCTR,,.R1RGSHCTR
Russell 1000 RGS Ind: Asset Management & Custodian,USD,Price,End of day,R1RGSAMC,,.R1RGSAMC
Russell 1000 RGS Ind: Asset Management & Custodian Total Return,USD,Total,End of day,R1RGSAMCT,,.R1RGSAMCT
Russell 1000 RGS Ind: Health Care Facilities,USD,Price,End of day,R1RGSHCF,,.R1RGSHCF
Russell 1000 RGS Ind: Health Care Facilities Total Return,USD,Total,End of day,R1RGSHCFT,,.R1RGSHCFT
Russell 1000 RGS Ind: Steel,USD,Price,End of day,R1RSGSTL,,.R1RSGSTL
Russell 1000 RGS Ind: Steel Total  Return,USD,Total,End of day,R1RSGSTLT,,.R1RSGSTLT
Russell 1000 RGS Materials & Processing,USD,Price,Real Time,R1RGSMP,RGUSML,.R1RGSMP
Russell 1000 RGS Materials & Processing Total Return,USD,Total,End of day,R1RGSMPTR,,.R1RGSMPTR
Russell 1000 RGS Producer Durables,USD,Price,Real Time,R1RGSPD,RGUSPL,.R1RGSPD
Russell 1000 RGS Producer Durables Total Return,USD,Total,End of day,R1RGSPDTR,,.R1RGSPDTR
Russell 1000 RGS Sub: Auto & Auto Parts Total Return,USD,Total,Real Time,RUIAUPT,,.RUIAUPT
Russell 1000 RGS Sub: Banks Total Return,USD,Total,Real Time,RUIBKT,,.RUIBKT
Russell 1000 RGS Sub: Building Materials & Services Total Return,USD,Total,Real Time,RUIBMST,,.RUIBMST
Russell 1000 RGS Sub: Chemicals and Synthetics Total Return,USD,Total,Real Time,RUICHEMT,,.RUICHEMT
Russell 1000 RGS Sub: Commercial Services Total Return,USD,Total,Real Time,RUICOMMST,,.RUICOMMST
Russell 1000 RGS Sub: Consumer Finance & Credit Services Total Return,USD,Total,Real Time,RUICOMFIT,,.RUICOMFIT
Russell 1000 RGS Sub: Consumer Products Total Return,USD,Total,Real Time,RUICOMPRT,,.RUICOMPRT
Russell 1000 RGS Sub: Consumer Services Total Return,USD,Total,Real Time,RUICOMST,,.RUICOMST
Russell 1000 RGS Sub: Electronics Total Return,USD,Total,Real Time,RUIELET,,.RUIELET
Russell 1000 RGS Sub: Energy Equipment & Services Total Return,USD,Total,Real Time,RUIENEQST,,.RUIENEQST
Russell 1000 RGS Sub: Food Beverage & Tobacco Total Return,USD,Total,Real Time,RUIFBTOT,,.RUIFBTOT
Russell 1000 RGS Sub: Health Care Services Total Return,USD,Total,Real Time,RUIHCST,,.RUIHCST
Russell 1000 RGS Sub: Industrial Materials & Processes Total Return,USD,Total,Real Time,RUIINMPT,,.RUIINMPT
Russell 1000 RGS Sub: Information Technology Total Return,USD,Total,Real Time,RUIINFTECT,,.RUIINFTECT
Russell 1000 RGS Sub: Insurance Total Return,USD,Total,Real Time,RUIINST,,.RUIINST
Russell 1000 RGS Sub: Investment Banking & Brokerage Services Total Return,USD,Total,Real Time,RUIINBKBRT,,.RUIINBKBRT
Russell 1000 RGS Sub: Leisure Total Return,USD,Total,Real Time,RUILEIST,,.RUILEIST
Russell 1000 RGS Sub: Machinery Total Return,USD,Total,Real Time,RUIMACHT,,.RUIMACHT
Russell 1000 RGS Sub: Manufacturing & Production Total Return,USD,Total,Real Time,RUIMANPRT,,.RUIMANPRT
Russell 1000 RGS Sub: Media Total Return,USD,Total,Real Time,RUIMEDIT,,.RUIMEDIT
Russell 1000 RGS Sub: Medical Equipment & Services Total Return,USD,Total,Real Time,RUIMEDEQST,,.RUIMEDEQST
Russell 1000 RGS Sub: Metals & Minerals Total Return,USD,Total,Real Time,RUIMETMINT,,.RUIMETMINT
Russell 1000 RGS Sub: Non-Renewable Energy Total Return,USD,Total,Real Time,RUINONRENT,,.RUINONRENT
Russell 1000 RGS Sub: Personal Care Drug & Grocery Stores Total Return,USD,Total,Real Time,RUIPCDGST,,.RUIPCDGST
Russell 1000 RGS Sub: Pharmaceuticals & Biotech Total Return,USD,Total,Real Time,RUIPHABIOT,,.RUIPHABIOT
Russell 1000 RGS Sub: Real Estate Total Return,USD,Total,Real Time,RUIREALEST,,.RUIREALEST
Russell 1000 RGS Sub: REIT Total Return ,USD,Total,Real Time,RUIREIT,,.RUIREIT
Russell 1000 RGS Sub: Retail,USD,Price,Real Time,R1RGSRET,,.R1RGSRET
Russell 1000 RGS Sub: Retail Total Return,USD,Total,End of day,R1RGSRETTR,,.R1RGSRETTR
Russell 1000 RGS Sub: Retail Total Return,USD,Total,Real Time,RUIRETAILT,,.RUIRETAILT
Russell 1000 RGS Sub: Scientific Instruments & Services Total Return,USD,Total,Real Time,RUISCINSRT,,.RUISCINSRT
