Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 2000 Growth RGS Producer Durables Index Total Return,USD,Total,End of day,R2GRGSPDT,,.R2GRGSPDT
Russell 2000 Growth RGS Technology Index Price Return,USD,Price,End of day,R2GRGSTEC,,.R2GRGSTEC
Russell 2000 Growth RGS Technology Index Total Return,USD,Total,End of day,R2GRGSTECT,,.R2GRGSTECT
Russell 2000 Growth RGS Utilities Index Price Return,USD,Price,End of day,R2GRGSUT,,.R2GRGSUT
Russell 2000 Growth RGS Utilities Index Total Return,USD,Total,End of day,R2GRGSUTT,,.R2GRGSUTT
Russell 2000 Growth Total Return,USD,Total,Real Time,RUOTR,RU20GRTR,.RUOTRI
Russell 2000 Growth Total Return GBP,GBP,Total,End of day,RUOTRP,RUOYP,.RUOTRP
Russell 2000 Growth-Defensive TR,USD,Total,End of day,R2GDFTR,,.R2GDFTR
Russell 2000 Growth-Dynamic TR,USD,Total,End of day,R2GDYTR,,.R2GDYTR
Russell 2000 Hedged CAD,CAD,Hedged,End of day,RU2CADHDG,,.RU2CADHDG
Russell 2000 High Beta,USD,Price,End of day,R2HBTA,RU2HBTA ,.R2HBTA
Russell 2000 High Beta Total Return,USD,Total,End of day,R2HBTATR,RU2HBTAT,.R2HBTATR
Russell 2000 High Eff Def - Low,USD,Price,End of day,RURDRS3,RURDRS3,.RURDRS3
Russell 2000 High Eff Def - Low NR,USD,Net,End of day,RURDRS3N,RURDRS3N,.RURDRS3N
Russell 2000 High Eff Def - Low TR,USD,Total,End of day,RURDRS3T,RURDRS3T,.RURDRS3T
Russell 2000 High Eff Def - Mod,USD,Price,End of day,RURDRS6,RURDRS6,.RURDRS6
Russell 2000 High Eff Def - Mod NR,USD,Net,End of day,RURDRS6N,RURDRS6N,.RURDRS6N
Russell 2000 High Eff Def - Mod TR,USD,Total,End of day,RURDRS6T,RURDRS6T,.RURDRS6T
Russell 2000 High Momentum,USD,Price,End of day,R2HMTM,RU2HMTM ,.R2HMTM
Russell 2000 High Momentum Total Return,USD,Total,End of day,R2HMTMTR,RU2HMTMT,.R2HMTMTR
Russell 2000 High Volatility,USD,Price,End of day,R2HVOL,RU2HVOL ,.R2HVOL
Russell 2000 High Volatility Total Return,USD,Total,End of day,R2HVOLTR,RU2HVOLT,.R2HVOLTR
Russell 2000 Index EUR,EUR,Price,End of day,,RU20EUPG,
Russell 2000 Index EUR,EUR,Total,End of day,,RU20EUTI,
Russell 2000 Index GBP,GBP,Price,End of day,,RU20GBHI,
Russell 2000 Low Beta,USD,Price,End of day,R2LBTA,RU2LBTA ,.R2LBTA
Russell 2000 Low Beta Total Return,USD,Total,End of day,R2LBTATR,RU2LBTAT,.R2LBTATR
Russell 2000 Low Volatility,USD,Price,Real Time,R2LVOL,RU2LVOL ,.R2LVOL
Russell 2000 Low Volatility Total Return,USD,Total,End of day,R2LVOLTR,RU2LVOLT,.R2LVOLTR
Russell 2000 Net Return,USD,Net,End of day,RUTNR,RU20N30U,.RUTNU
Russell 2000 Price - EOD,USD,Price,End of day,R2PREOD,,.R2PREOD
Russell 2000 RGS Consumer Discretionary,USD,Price,Real Time,R2RGSCD,RGUSDS,.R2RGSCD
Russell 2000 RGS Consumer Discretionary Total Return,USD,Total,End of day,R2RGSCDTR,,.R2RGSCDTR
Russell 2000 RGS Consumer Staples,USD,Price,Real Time,R2RGSCS,RGUSSS,.R2RGSCS
Russell 2000 RGS Consumer Staples Total Return,USD,Total,End of day,R2RGSCSTR,,.R2RGSCSTR
Russell 2000 RGS Energy,USD,Price,Real Time,R2RGSENG,RGUSES,.R2RGSENG
Russell 2000 RGS Energy Total Return,USD,Total,End of day,R2RGSENGTR,,.R2RGSENGTR
Russell 2000 RGS Financial Services,USD,Price,Real Time,R2RGSFS,RGUSFS,.R2RGSFS
Russell 2000 RGS Financial Services Total Return,USD,Total,End of day,R2RGSFSTR,,.R2RGSFSTR
Russell 2000 RGS Health Care,USD,Price,Real Time,R2RGSHC,RGUSHS,.R2RGSHC
Russell 2000 RGS Health Care Total Return,USD,Total,End of day,R2RGSHCTR,,.R2RGSHCTR
Russell 2000 RGS Ind: Biotechnology ,USD,Price,End of day,RGUSHSBT,RGUSHSBT,.RGUSHSBT
Russell 2000 RGS Ind: Biotechnology TR,USD,Total,End of day,RGUSHBTT,,.RGUSHBTT
Russell 2000 RGS Materials & Processing,USD,Price,Real Time,R2RGSMP,RGUSMS,.R2RGSMP
Russell 2000 RGS Materials & Processing Total Return,USD,Total,End of day,R2RGSMPTR,,.R2RGSMPTR
Russell 2000 RGS Producer Durables,USD,Price,Real Time,R2RGSPD,RGUSPS,.R2RGSPD
Russell 2000 RGS Producer Durables Total Return,USD,Total,End of day,R2RGSPDTR,,.R2RGSPDTR
Russell 2000 RGS Sub: Alternative Energy Total Return,USD,Total,Real Time,RUTALTENT,,.RUTALTENT
Russell 2000 RGS Sub: Auto & Auto Parts Total Return,USD,Total,Real Time,RUTAUPT,,.RUTAUPT
Russell 2000 RGS Sub: Banks Total Return,USD,Total,Real Time,RUTBKT,,.RUTBKT
Russell 2000 RGS Sub: Building Materials & Services Total Return,USD,Total,Real Time,RUTBMST,,.RUTBMST
Russell 2000 RGS Sub: Chemicals and Synthetics Total Return,USD,Total,Real Time,RUTCHEMT,,.RUTCHEMT
Russell 2000 RGS Sub: Commercial Services Total Return,USD,Total,Real Time,RUTCOMMST,,.RUTCOMMST
Russell 2000 RGS Sub: Consumer Finance & Credit Services Total Return,USD,Total,Real Time,RUTCOMFIT,,.RUTCOMFIT
Russell 2000 RGS Sub: Consumer Products Total Return,USD,Total,Real Time,RUTCOMPRT,,.RUTCOMPRT
Russell 2000 RGS Sub: Consumer Services Total Return,USD,Total,Real Time,RUTCOMST,,.RUTCOMST
Russell 2000 RGS Sub: Electronics Total Return,USD,Total,Real Time,RUTELET,,.RUTELET
Russell 2000 RGS Sub: Energy Equipment & Services Total Return,USD,Total,Real Time,RUTENEQST,,.RUTENEQST
Russell 2000 RGS Sub: Food Beverage & Tobacco Total Return,USD,Total,Real Time,RUTFBTOT,,.RUTFBTOT
Russell 2000 RGS Sub: Health Care Services Total Return,USD,Total,Real Time,RUTHCST,,.RUTHCST
Russell 2000 RGS Sub: Industrial Materials & Processes Total Return,USD,Total,Real Time,RUTINMPT,,.RUTINMPT
Russell 2000 RGS Sub: Information Technology Total Return,USD,Total,Real Time,RUTINFTECT,,.RUTINFTECT
Russell 2000 RGS Sub: Insurance Total Return,USD,Total,Real Time,RUTINST,,.RUTINST
Russell 2000 RGS Sub: Investment Banking & Brokerage Services Total Return,USD,Total,Real Time,RUTINBKBRT,,.RUTINBKBRT
Russell 2000 RGS Sub: Leisure Total Return,USD,Total,Real Time,RUTLEIST,,.RUTLEIST
Russell 2000 RGS Sub: Machinery Total Return,USD,Total,Real Time,RUTMACHT,,.RUTMACHT
Russell 2000 RGS Sub: Manufacturing & Production Total Return,USD,Total,Real Time,RUTMANPRT,,.RUTMANPRT
Russell 2000 RGS Sub: Media Total Return,USD,Total,Real Time,RUTMEDIT,,.RUTMEDIT
Russell 2000 RGS Sub: Medical Equipment & Services Total Return,USD,Total,Real Time,RUTMEDEQST,,.RUTMEDEQST
Russell 2000 RGS Sub: Metals & Minerals Total Return,USD,Total,Real Time,RUTMETMINT,,.RUTMETMINT
Russell 2000 RGS Sub: Non-Renewable Energy Total Return,USD,Total,Real Time,RUTNONRENT,,.RUTNONRENT
Russell 2000 RGS Sub: Personal Care Drug & Grocery Stores Total Return,USD,Total,Real Time,RUTPCDGST,,.RUTPCDGST
Russell 2000 RGS Sub: Pharmaceuticals & Biotech Total Return,USD,Total,Real Time,RUTPHABIOT,,.RUTPHABIOT
Russell 2000 RGS Sub: Real Estate Total Return,USD,Total,Real Time,RUTREALEST,,.RUTREALEST
Russell 2000 RGS Sub: REIT Total Return ,USD,Total,Real Time,RUTREIT,,.RUTREIT
Russell 2000 RGS Sub: Retail Total Return,USD,Total,Real Time,RUTRETAILT,,.RUTRETAILT
Russell 2000 RGS Sub: Scientific Instruments & Services Total Return,USD,Total,Real Time,RUTSCINSRT,,.RUTSCINSRT
Russell 2000 RGS Sub: Telecommunication Total Return,USD,Total,Real Time,RUTTELECMT,,.RUTTELECMT
Russell 2000 RGS Sub: Transportation & Freight Total Return,USD,Total,Real Time,RUTTRANSFT,,.RUTTRANSFT
Russell 2000 RGS Sub: Utilities Total Return,USD,Total,Real Time,RUTUTILT,,.RUTUTILT
Russell 2000 RGS Technology,USD,Price,Real Time,R2RGSTEC,RGUSTS,.R2RGSTEC
Russell 2000 RGS Technology Total Return,USD,Total,End of day,R2RGSTECTR,,.R2RGSTECTR
Russell 2000 RGS Utilities,USD,Price,Real Time,R2RGSUT,RGUSUS,.R2RGSUT
Russell 2000 RGS Utilities Total Return,USD,Total,End of day,R2RGSUTTR,,.R2RGSUTTR
Russell 2000 Total Return,USD,Total,Real Time,RUTTR,RU20INTR,.RUTTU
Russell 2000 Value,USD,Price,Real Time,RUJ,RUJ,.RUJ
Russell 2000 Value Net Return,USD,Net,End of day,RUJNR,,.RUJNR
Russell 2000 Value Price - EOD,USD,Price,End of day,R2VPREOD,,.R2VPREOD
Russell 2000 Value Total Return,USD,Total,Real Time,RUJTR,RU20VATR,.RUJTRI
Russell 2000 Value-Defensive TR,USD,Total,End of day,R2VDFTR,,.R2VDFTR
Russell 2000 Value-Dynamic TR,USD,Total,End of day,R2VDYTR,,.R2VDYTR
Russell 2000� Pure Growth Price,USD,Price,Real Time,R2KPGROP,R2KPGROP,.R2KPGROP
Russell 2000� Pure Growth Total,USD,Total,End of day,R2KPGROT,R2KPGROT,.R2KPGROT
Russell 2000� Pure Value Price,USD,Price,Real Time,R2KPVALP,R2KPVALP,.R2KPVALP
Russell 2000� Pure Value Total,USD,Total,End of day,R2KPVALT,R2KPVALT,.R2KPVALT
Russell 2500,USD,Price,Real Time,R25I,R2500,.R25I
Russell 2500 Defensive,USD,Price,End of day,RU2500DF,RU2500DF,.RU2500DF
Russell 2500 Defensive Net,USD,Net,End of day,RU25DFNR,RU25DFNR,.RU25DFNR
Russell 2500 Defensive Net EUR,EUR,Net,End of day,RU25DFNE,RU25DFNE,.RU25DFNE
Russell 2500 Defensive Total Return,USD,Total,End of day,RU25DFTR,RU25DFTR,.RU25DFTR
Russell 2500 Dynamic,USD,Price,End of day,RU2500DY,RU2500DY,.RU2500DY
Russell 2500 Dynamic Net,USD,Net,End of day,RU25DYNR,RU25DYNR,.RU25DYNR
Russell 2500 Dynamic Net EUR,EUR,Net,End of day,RU25DYNE,RU25DYNE,.RU25DYNE
Russell 2500 Dynamic Total Return,USD,Total,End of day,RU25DYTR,RU25DYTR,.RU25DYTR
Russell 2500 Growth,USD,Price,Real Time,R25IG,R2500G,.R25IG
Russell 2500 Growth Net Return,USD,Net,End of day,R25IGNR,,.R25IGNR
Russell 2500 Growth Price - EOD,USD,Price,End of day,R25GPREOD,,.R25GPREOD
Russell 2500 Growth Total Return,USD,Total,End of day,R25IGTR,RU25GRTR,.R25IGTRI
Russell 2500 Growth-Defensive TR,USD,Total,End of day,R25GDFTR,,.R25GDFTR
Russell 2500 Growth-Dynamic TR,USD,Total,End of day,R25GDYTR,,.R25GDYTR
Russell 2500 Index GBP Total,GBP,Total,End of day,,RU25GBTI,
Russell 2500 Net Return,USD,Net,End of day,R25INR,RU25N30U,.RUBNU
Russell 2500 Price - EOD,USD,Price,End of day,R25PREOD,,.R25PREOD
Russell 2500 RGS Consumer Discretionary Index Price Return,USD,Price,End of day,R25RGSCD,,.R25RGSCD
Russell 2500 RGS Consumer Discretionary Index Total Return,USD,Total,End of day,R25RGSCDT,,.R25RGSCDT
Russell 2500 RGS Consumer Staples Index Price Return,USD,Price,End of day,R25RGSCS,,.R25RGSCS
Russell 2500 RGS Consumer Staples Index Total Return,USD,Total,End of day,R25RGSCST,,.R25RGSCST
Russell 2500 RGS Energy Index Price Return,USD,Price,End of day,R25RGSENG,,.R25RGSENG
Russell 2500 RGS Energy Index Total Return,USD,Total,End of day,R25RGSENGT,,.R25RGSENGT
Russell 2500 RGS Financial Services Index Price Return,USD,Price,End of day,R25RGSFS,,.R25RGSFS
Russell 2500 RGS Financial Services Index Total Return,USD,Total,End of day,R25RGSFST,,.R25RGSFST
Russell 2500 RGS Health Care Index Price Return,USD,Price,End of day,R25RGSHC,,.R25RGSHC
Russell 2500 RGS Health Care Index Total Return,USD,Total,End of day,R25RGSHCT,,.R25RGSHCT
Russell 2500 RGS Materials & Processing Index Price Return,USD,Price,End of day,R25RGSMP,,.R25RGSMP
Russell 2500 RGS Materials & Processing Index Total Return,USD,Total,End of day,R25RGSMPT,,.R25RGSMPT
Russell 2500 RGS Producer Durables Index Price Return,USD,Price,End of day,R25RGSPD,,.R25RGSPD
Russell 2500 RGS Producer Durables Index Total Return,USD,Total,End of day,R25RGSPDT,,.R25RGSPDT
Russell 2500 RGS Technology Index Price Return,USD,Price,End of day,R25RGSTEC,,.R25RGSTEC
Russell 2500 RGS Technology Index Total Return,USD,Total,End of day,R25RGSTECT,,.R25RGSTECT
Russell 2500 RGS Utilities Index Price Return,USD,Price,End of day,R25RGSUT,,.R25RGSUT
Russell 2500 RGS Utilities Index Total Return,USD,Total,End of day,R25RGSUTT,,.R25RGSUTT
Russell 2500 Total Return,USD,Total,End of day,R25ITR,RU25INTR,.RUBTU
Russell 2500 Value,USD,Price,Real Time,R25IV,R2500V,.R25IV
Russell 2500 Value Net Return,USD,Net,End of day,R25IVNR,,.R25IVNR
Russell 2500 Value Price - EOD,USD,Price,End of day,R25VPREOD,,.R25VPREOD
Russell 2500 Value Total Return,USD,Total,End of day,R25IVTR,RU25VATR,.R25IVTRI
Russell 2500 Value-Defensive TR,USD,Total,End of day,R25VDFTR,,.R25VDFTR
Russell 2500 Value-Dynamic TR,USD,Total,End of day,R25VDYTR,,.R25VDYTR
Russell 3000,USD,Price,Real Time,RUA,RAY,.RUA
Russell 3000 Defensive Index,USD,Price,End of day,RU3000DF,RU3000DF,.RU3000DF
Russell 3000 Defensive Index Total Return,USD,Total,End of day,RU3000DFTR,RU3DFTR,.RU3000DFTR
Russell 3000 Defensive Net,USD,Net,End of day,RU3DFNR,RU3DFNR,.RU3DFNR
Russell 3000 Defensive Net EUR,EUR,Net,End of day,RU3DFNRE,RU3DFNRE,.RU3DFNRE
Russell 3000 Dividend Growth Index,USD,Total,Real Time,R3DIVGRO,,.R3DIVGRO
Russell 3000 Dividend Growth Index,USD,Price,Real Time,R3DIVGRP,R3DIVGRP,.R3DIVGRP
Russell 3000 Dynamic Index,USD,Price,End of day,RU3000DY,RU3000DY,.RU3000DY
Russell 3000 Dynamic Index Total Return,USD,Total,End of day,RU3000DYTR,RU3DYTR,.RU3000DYTR
Russell 3000 Dynamic Net,USD,Net,End of day,RU3DYNR,RU3DYNR,.RU3DYNR
Russell 3000 Dynamic Net EUR,EUR,Net,End of day,RU3DYNRE,RU3DYNRE,.RU3DYNRE
Russell 3000 Growth,USD,Price,Real Time,RAG,RAG,.RAG
Russell 3000 Growth Net Return,USD,Net,End of day,RAGNR,,.RAGNR
Russell 3000 Growth Price - EOD,USD,Price,End of day,R3GPREOD,,.R3GPREOD
Russell 3000 Growth Total Return,USD,Total,Real Time,RAGTR,RU30GRTR,.RAGTRI
Russell 3000 Growth-Defensive TR,USD,Total,End of day,R3GDFTR,,.R3GDFTR
Russell 3000 Growth-Dynamic TR,USD,Total,End of day,R3GDYTR,,.R3GDYTR
Russell 3000 Hedged CAD,CAD,Hedged,End of day,RU3CADHDG,,.RU3CADHDG
Russell 3000 High Eff Def - Low,USD,Price,End of day,RURDRA3,RURDRA3,.RURDRA3
Russell 3000 High Eff Def - Low NR,USD,Net,End of day,RURDRA3N,RURDRA3N,.RURDRA3N
Russell 3000 High Eff Def - Low TR,USD,Total,End of day,RURDRA3T,RURDRA3T,.RURDRA3T
Russell 3000 High Eff Def - Mod,USD,Price,End of day,RURDRA6,RURDRA6,.RURDRA6
Russell 3000 High Eff Def - Mod NR,USD,Net,End of day,RURDRA6N,RURDRA6N,.RURDRA6N
Russell 3000 High Eff Def - Mod TR,USD,Total,End of day,RURDRA6T,RURDRA6T,.RURDRA6T
Russell 3000 Net Return,USD,Net,End of day,RUANR,RU30N30U,.RUANU
Russell 3000 Net Return EUR,EUR,Net,End of day,RUANRE,,.RUANRE
Russell 3000 Net Return GBP,GBP,Net,End of day,RUANRP,,.RUANRP
Russell 3000 Price - EOD,USD,Price,End of day,R3PREOD,,.R3PREOD
Russell 3000 RGS Consumer Discretionary,USD,Price,End of day,R3RGSCD,,.R3RGSCD
Russell 3000 RGS Consumer Discretionary Total Return,USD,Total,End of day,R3RGSCDTR,,.R3RGSCDTR
Russell 3000 RGS Consumer Staples,USD,Price,End of day,R3RGSCS,,.R3RGSCS
Russell 3000 RGS Consumer Staples Total Return,USD,Total,End of day,R3RGSCSTR,,.R3RGSCSTR
Russell 3000 RGS Energy ,USD,Price,End of day,R3RGSENG,,.R3RGSENG
Russell 3000 RGS Energy Total Return,USD,Total,End of day,R3RGSENGTR,,.R3RGSENGTR
Russell 3000 RGS Financial Services,USD,Price,End of day,R3RGSFS,,.R3RGSFS
Russell 3000 RGS Financial Services Total Return,USD,Total,End of day,R3RGSFSTR,,.R3RGSFSTR
Russell 3000 RGS Health Care,USD,Price,End of day,R3RGSHC,,.R3RGSHC
Russell 3000 RGS Health Care Total Return,USD,Total,End of day,R3RGSHCTR,,.R3RGSHCTR
Russell 3000 RGS Ind: Coal,USD,Price,Real Time,R3RGSCOAL,,.R3RGSCOAL
Russell 3000 RGS Ind: Coal Total Return,USD,Total,End of day,R3RGSCOALT,,.R3RGSCOALT
Russell 3000 RGS Ind: Rental & Leasing Services: Consumer,USD,Price,End of day,R3RGSRLSC,,.R3RGSRLSC
Russell 3000 RGS Ind: Rental & Leasing Services: Consumer Total Return,USD,Total,End of day,R3RGSRLSCT,,.R3RGSRLSCT
Russell 3000 RGS Materials & Processing,USD,Price,End of day,R3RGSMP,,.R3RGSMP
Russell 3000 RGS Materials & Processing Total Return,USD,Total,End of day,R3RGSMPTR,,.R3RGSMPTR
Russell 3000 RGS Producer Durables,USD,Price,End of day,R3RGSPD,,.R3RGSPD
Russell 3000 RGS Producer Durables Total Return,USD,Total,End of day,R3RGSPDTR,,.R3RGSPDTR
Russell 3000 RGS Sub: REIT Total Return ,USD,Total,End of day,RUAREIT,,.RUAREIT
Russell 3000 RGS Technology,USD,Price,End of day,R3RGSTEC,,.R3RGSTEC
Russell 3000 RGS Technology Total Return,USD,Total,End of day,R3RGSTECTR,,.R3RGSTECTR
Russell 3000 RGS Utilities,USD,Price,End of day,R3RGSUT,,.R3RGSUT
Russell 3000 RGS Utilities Total Return,USD,Total,End of day,R3RGSUTTR,,.R3RGSUTTR
Russell 3000 Total Return,USD,Total,Real Time,RUATR,RU30INTR,.RUATU
Russell 3000 Total Return EUR,EUR,Total,End of day,RUATRE,,.RUATRE
Russell 3000 Total Return GBP,GBP,Total,End of day,RUATRP,,.RUATRP
Russell 3000 Value,USD,Price,Real Time,RAV,RAV,.RAV
Russell 3000 Value Net Return,USD,Net,End of day,RAVNR,,.RAVNR
Russell 3000 Value Price - EOD,USD,Price,End of day,R3VPREOD,,.R3VPREOD
Russell 3000 Value Total Return,USD,Total,Real Time,RAVTR,RU30VATR,.RAVTRI
Russell 3000 Value-Defensive TR,USD,Total,End of day,R3VDFTR,,.R3VDFTR
Russell 3000 Value-Dynamic TR,USD,Total,End of day,R3VDYTR,,.R3VDYTR
Russell Asia ex-Japan,USD,Price,End of day,RAXJUSD,RAXJ,.RAXJUSD
Russell Asia ex-Japan Defensive ,USD,Price,End of day,RUAXJDF,RUAXJDF,.RUAXJDF
Russell Asia ex-Japan Defensive Net Return,USD,Net,End of day,RUAXJDFN,RUAXJDFN,.RUAXJDFN
Russell Asia ex-Japan Defensive Total Return,USD,Total,End of day,RUAXJDFT,RUAXJDFT,.RUAXJDFT
Russell Asia ex-Japan Dynamic ,USD,Price,End of day,RUAXJDY,RUAXJDY,.RUAXJDY
Russell Asia ex-Japan Dynamic Net Return,USD,Net,End of day,RUAXJDYN,RUAXJDYN,.RUAXJDYN
Russell Asia ex-Japan Dynamic Total Return,USD,Total,End of day,RUAXJDYT,RUAXJDYT,.RUAXJDYT
Russell Asia ex-Japan Large Cap,USD,Price,End of day,RAXJLUSD,RAXJL,.RAXJLUSD
Russell Asia ex-Japan Large Cap Total Return,USD,Total,End of day,RAXJLTRUSD,,.RAXJLTRUSD
Russell Asia ex-Japan Midcap,USD,Price,End of day,RAXJMUSD,,.RAXJMUSD
Russell Asia ex-Japan Midcap Total Return,USD,Total,End of day,RAXJMTRUSD,,.RAXJMTRUSD
Russell Asia ex-Japan Small Cap,USD,Price,End of day,RAXJSUSD,RAXJS,.RAXJSUSD
Russell Asia ex-Japan Small Cap Total Return,USD,Total,End of day,RAXJSTRUSD,,.RAXJSTRUSD
Russell Asia ex-Japan Total Return,USD,Total,End of day,RAXJTRUSD,,.RAXJTRUSD
Russell Asia Pacific,USD,Price,End of day,RASPUSD,RASP,.RASPUSD
Russell Asia Pacific Defensive,USD,Price,End of day,RUASPDF,RUASPDFT,.RUASPDF
Russell Asia Pacific Defensive Net Return,USD,Net,End of day,RUASPDFN,RUASPDFN,.RUASPDFN
Russell Asia Pacific Defensive Total Return,USD,Total,End of day,RUASPDFT,RUASPDFT,.RUASPDFT
Russell Asia Pacific Dynamic,USD,Price,End of day,RUASPDY,RUASPDY,.RUASPDY
Russell Asia Pacific Dynamic Net Return,USD,Net,End of day,RUASPDYN,RUASPDYN,.RUASPDYN
Russell Asia Pacific Dynamic Total Return,USD,Total,End of day,RUASPDYT,RUASPDYT,.RUASPDYT
Russell Asia Pacific ex-Japan,USD,Price,End of day,RAPJUSD,RAPJ,.RAPJUSD
Russell Asia Pacific ex-Japan Index GBP,GBP,Price,End of day,,RUAPJNHP,
Russell Asia Pacific ex-Japan Large Cap,USD,Price,End of day,RAPJLUSD,RAPJL,.RAPJLUSD
Russell Asia Pacific ex-Japan Large Cap High Eff Def - Low,USD,Price,End of day,RURDVL3,RURDVL3,.RURDVL3
Russell Asia Pacific ex-Japan Large Cap High Eff Def - Low NR,USD,Net,End of day,RURDVL3N,RURDVL3N,.RURDVL3N
Russell Asia Pacific ex-Japan Large Cap High Eff Def - Low TR,USD,Total,End of day,RURDVL3T,RURDVL3T,.RURDVL3T
Russell Asia Pacific ex-Japan Large Cap High Eff Def - Mod,USD,Price,End of day,RURDVL6,RURDVL6,.RURDVL6
Russell Asia Pacific ex-Japan Large Cap High Eff Def - Mod NR,USD,Net,End of day,RURDVL6N,RURDVL6N,.RURDVL6N
Russell Asia Pacific ex-Japan Large Cap High Eff Def - Mod TR,USD,Total,End of day,RURDVL6T,RURDVL6T,.RURDVL6T
Russell Asia Pacific ex-Japan Large Cap Total Return,USD,Total,End of day,RAPJLTRUSD,,.RAPJLTRUSD
Russell Asia Pacific ex-Japan Midcap,USD,Price,End of day,RAPJMUSD,,.RAPJMUSD
Russell Asia Pacific ex-Japan Midcap Total Return,USD,Total,End of day,RAPJMTRUSD,,.RAPJMTRUSD
Russell Asia Pacific ex-Japan Small Cap,USD,Price,End of day,RAPJSUSD,RAPJS,.RAPJSUSD
Russell Asia Pacific ex-Japan Small Cap Total Return,USD,Total,End of day,RAPJSTRUSD,RAPJSC,.RAPJSTRUSD
Russell Asia Pacific ex-Japan Total Return,USD,Total,End of day,RAPJTRUSD,RUAPXJN,.RAPJTRUSD
Russell Asia Pacific Large Cap,USD,Price,End of day,RASPLUSD,RASPL,.RASPLUSD
Russell Asia Pacific Large Cap Total Return,USD,Total,End of day,RASPLTRUSD,,.RASPLTRUSD
Russell Asia Pacific Midcap,USD,Price,End of day,RASPMUSD,,.RASPMUSD
Russell Asia Pacific Midcap Total Return,USD,Total,End of day,RASPMTRUSD,,.RASPMTRUSD
Russell Asia Pacific Small Cap,USD,Price,End of day,RASPSUSD,RASPS,.RASPSUSD
Russell Asia Pacific Small Cap Total Return,USD,Total,End of day,RASPSTRUSD,RAPJSC,.RASPSTRUSD
Russell Asia Pacific Total Return,USD,Total,End of day,RASPTRUSD,,.RASPTRUSD
Russell Australia,USD,Price,End of day,RGAU,,.RGAU
Russell Australia ESG High Dividend,AUD,Price,End of day,RAESGD,,.RAESGD
Russell Australia ESG High Dividend Net Return,AUD,Net,End of day,RAESGDN,,.RAESGDN
Russell Australia ESG High Dividend Total Return,AUD,Total,End of day,RAESGDT,,.RAESGDT
Russell Australia High Dividend,AUD,Price,End of day,RAUHDI,RURAHDIA,.RAUHDI
Russell Australia High Dividend Total  Return,AUD,Total,End of day,RAUHDITR,,.RAUHDITR
Russell Australia High Value,AUD,Price,End of day,RAUHVI,RURAHVIA,.RAUHVI
Russell Australia High Value Index,USD,Price,End of day,,RURAHVI,
Russell Australia High Value Total  Return,AUD,Total,End of day,RAUHVITR,,.RAUHVITR
Russell Australia Total Return,USD,Total,End of day,RGAUT,,.RGAUT
Russell Austria,USD,Price,End of day,RGAT,,.RGAT
Russell Austria Total Return,USD,Total,End of day,RGATT,,.RGATT
Russell Belgium,USD,Price,End of day,RGBE,,.RGBE
Russell Belgium Total Return,USD,Total,End of day,RGBET,,.RGBET
Russell Brazil,USD,Price,End of day,RGBR,RGBR,.RGBR
Russell Brazil Large Cap Index,USD,Price,End of day,,RGBRL,
Russell Brazil Net Return,USD,Net,End of day,RGBRNR,RGBRN,.RGBRNR
Russell Brazil Total Return,USD,Total,End of day,RGBRT,,.RGBRT
Russell BRIC,USD,Price,End of day,RBRCUSD,RBRC,.RBRCUSD
Russell BRIC Equal Weight Index ,USD,Price,Real Time,RBEAC,RURBEAC,.RBEAC
Russell BRIC Equal Weight Total Return,USD,Total,End of day,RBEACTR,RUBEACTR,.RBEACTR
Russell BRIC Total Return,USD,Total,End of day,RBRCTRUSD,RBRCAT,.RBRCTRUSD
Russell Canada,USD,Price,End of day,RGCA,RGCAD,.RGCA
Russell Canada Small Cap Net Return CAD,CAD,Net,End of day,RUCASCNC,,.RUCASCNC
Russell Canada Small Cap Net Return USD,USD,Net,End of day,RUCASCN,,.RUCASCN
Russell Canada Small Cap Price Return CAD,CAD,Price,End of day,RUCASCC,,.RUCASCC
Russell Canada Small Cap Price Return USD,USD,Price,End of day,RUCASC,,.RUCASC
Russell Canada Small Cap Total Return CAD,CAD,Total,End of day,RUCASCTC,,.RUCASCTC
Russell Canada Small Cap Total Return USD,USD,Total,End of day,RUCASCT,,.RUCASCT
Russell Canada Total Return,USD,Total,End of day,RGCAT,RGCAT,.RGCAT
Russell Chile,USD,Price,End of day,RGCL,,.RGCL
Russell Chile Total Return,USD,Total,End of day,RGCLT,,.RGCLT
Russell China,USD,Price,End of day,RGCN,RGCN,.RGCN
Russell China Total Return,USD,Total,End of day,RGCNT,RGCNL,.RGCNT
Russell Colombia,USD,Price,End of day,RGCO,,.RGCO
Russell Colombia Total Return,USD,Total,End of day,RGCOT,,.RGCOT
Russell Conscious Currency Carry USD,USD,Total,End of day,RCCCUSD,,.RCCCUSD
Russell Conscious Currency Trend USD,USD,Total,End of day,RCCTUSD,,.RCCTUSD
Russell Conscious Currency USD,USD,Total,End of day,RCCIUSD,,.RCCIUSD
Russell Conscious Currency Value USD,USD,Total,End of day,RCCVUSD,,.RCCVUSD
Russell Czech Republic,USD,Price,End of day,RGCZ,,.RGCZ
Russell Czech Republic Total Return,USD,Total,End of day,RGCZT,,.RGCZT
Russell Denmark,USD,Price,End of day,RGDK,,.RGDK
Russell Denmark Total Return ,USD,Total,End of day,RGDKT,,.RGDKT
